Date,AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BMRN,CA,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTRP,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ENDP,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HSIC,ILMN,INCY,INTC,INTU,ISRG,JD,LBTYA,LBTYK,LLTC,LRCX,LVNTA,MAR,MAT,MDLZ,MNST,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PCLN,QCOM,QVCA,REGN,ROST,SBAC,SBUX,SIRI,SRCL,STX,SWKS,SYMC,TMUS,TRIP,TSCO,TSLA,TXN,ULTA,VIAB,VOD,VRSK,VRTX,WBA,WDC,WFM
2015-01-16,49.109262,103.024654,71.730003,51.449676,81.54178,56.849998,59.220001,180.440002,22.766594,153.229067,290.73999,19.883022,101.924054,73.325275,220.199997,352.75,99.449997,29.775342,121.809998,65.589996,80.809998,161.110001,55.315408,133.077236,26.349325,33.58917,23.035,55.040001,58.380001,29.42,28.540001,71.849998,66.709999,48.09,22.584174,79.989998,85.379997,82.467374,43.404475,75.18,73.040001,33.077347,34.407181,98.491556,508.082288,510.459991,139.5,183.820007,74.379997,34.776181,84.971404,530.630005,24.07,46.400002,45.110001,43.462049,75.924527,36.139999,74.344124,25.520526,36.058999,118.889999,44.38321,28.99,30.446008,56,44.849998,48.191429,37.605263,106.278643,19.512401,77.910004,182.910004,44.990102,61.112677,1008.219971,67.824541,27.93,408.690002,45.794213,109.519997,39.524241,3.53,134.149994,57.592089,72.562321,19.849041,29.139999,68.18,75.495398,193.070007,51.221644,129.720001,64.834471,31.848158,62.900002,122.860001,74.096835,101.296066,50.292286
2015-01-20,52.0079,105.678278,71.489998,52.120468,81.927459,57.099998,59.650002,183.059998,22.921798,152.426327,289.440002,19.853565,102.954882,73.095943,220.360001,363.279999,99.160004,30.069677,123.25,64.970001,80.190002,156.130005,54.380007,132.753405,26.720576,33.280836,23.26,55.599998,58.970001,29.25,28.23,70.68,67.25,47.810001,22.592592,81.040001,83.480003,82.921793,43.548359,76.239998,73.150002,32.279708,33.599686,101.49393,506.902294,509.940002,138.5,196.729996,77.400002,34.432712,85.954642,521.890015,24.559999,46.560001,45.080002,44.027862,76.824893,36.049999,74.765365,25.465485,36.137092,117.440002,44.527184,29.67,30.721753,55.130001,45,49.828571,37.391761,108.595852,19.571057,78.779999,186.419998,45.218383,61.09373,1024.949951,68.956696,27.76,421.109985,45.256906,110.309998,39.823333,3.49,134.199997,57.328696,74.242504,19.887765,29.540001,69.239998,74.676517,191.929993,51.721461,127.160004,63.205752,32.244073,63.200001,124.739998,74.116331,101.505566,50.145692
2015-01-21,52.914955,106.485058,71.540001,52.302542,81.532136,57.549999,60.27,179.259995,23.591119,152.213548,297.25,19.735741,103.455564,74.521768,228.279999,361.829987,96.139999,28.427096,122.220001,65.559998,80.669998,155.75,54.341031,132.52481,26.501633,33.435003,24.424999,55.279999,58.830002,29.459999,28.4,71.879997,67.809998,48.07,22.466329,79.82,83.540001,83.060095,43.999188,76.739998,72.419998,32.151695,33.39289,101.298339,518.042373,520.390015,138.160004,191.770004,77.43,34.804803,84.951743,518.119995,24.48,46.799999,45.360001,44.430645,78.332032,36.790001,74.70659,25.722343,36.263993,118.540001,44.076056,30.49,31.254223,54.59,44.990002,58.468571,37.372351,109.886448,19.844777,79.300003,184.970001,45.037659,61.681165,1045.530029,68.109953,27.790001,418.109985,45.434365,111.389999,39.857655,3.57,134.289993,57.4831,75.95217,19.841298,30.08,69.349998,76.057766,196.570007,52.173217,128.350006,64.272518,33.174012,63.43,125.089996,73.66802,101.543659,51.533468
2015-01-22,54.807946,109.255321,73.480003,52.465446,83.508734,58.27,60.639999,180.320007,23.882129,154.331657,310.320007,20.21686,103.27885,75.887771,229.880005,353.649994,95.849998,28.996778,123.709999,67.169998,79.989998,158.990005,55.120532,134.553547,27.129904,33.964952,24.735001,56.18,60.049999,30.059999,28.879999,74.32,70.25,49.360001,24.053029,80.019997,84.989998,84.67032,44.555534,77.650002,73.629997,32.880399,34.032979,102.823972,534.392388,537.299988,142.559998,193.889999,77.610001,35.215057,87.30168,525.380005,24.34,46.77,45.389999,44.938916,79.134534,37.23,76.88137,26.061759,36.693498,119.989998,45.237471,30.889999,31.387341,54.439999,45.799999,61.205715,38.48838,109.378035,20.186928,79.059998,189.320007,45.617871,61.273747,1049.680054,68.414405,28.559999,420.809998,46.464613,116.470001,40.568609,3.61,135.360001,58.07346,77.946773,20.669955,30.5,71.120003,78.662423,201.619995,52.836438,132.559998,65.348804,33.155597,64.260002,127.300003,74.087087,100.267581,51.553015
2015-01-23,54.906538,109.819096,74.059998,52.235459,83.740139,58.189999,61.02,183.320007,23.387414,154.563769,312.390015,20.275773,105.026351,76.396284,233.330002,357.529999,97.690002,29.443027,123.889999,67.220001,80.059998,158.929993,54.867196,135.296462,26.853845,33.213388,25.049999,56.060001,60.970001,29.84,28.98,73.650002,72.07,49.790001,23.888887,78.870003,84.800003,86.379338,44.40206,77.830002,74.059998,32.732691,33.767096,103.215163,539.952437,541.950012,143.330002,197.160004,79.900002,34.776181,87.921117,517.570007,24.65,46.799999,45.560001,44.843014,78.703921,37.66,76.910758,25.722343,36.058999,119.309998,45.285462,30.950001,32.100473,54.209999,45.700001,62.494286,38.313697,110.38509,20.245582,80.230003,190.080002,46.017362,61.160054,1037.98999,68.671277,28.66,420.209991,46.666717,118.379997,43.255534,3.57,135.100006,58.109791,79.450094,20.638976,30.16,69.769997,78.652555,201.289993,52.922945,135.339996,64.577308,33.08194,65.110001,125.57,73.66802,101.038941,51.973257
2015-01-26,54.669917,109.935734,72.739998,52.379202,83.470166,58.23,61.169998,182.759995,23.513517,154.486393,309.660004,20.46233,104.780916,77.79219,229.460007,362.440002,99.510002,29.291113,124.120003,68.120003,80.029999,158.179993,55.237456,136.115575,26.625383,33.685523,24.76,56.099998,60.959999,30.059999,29.139999,73.150002,70.360001,49.48,23.594276,79.150002,84.75,86.231156,44.219807,77.5,74.309998,32.90994,34.013283,104.750578,535.212448,536.719971,143.589996,201.679993,82.949997,34.165571,87.862125,521.01001,25.01,47.380001,46.200001,44.881375,79.447705,37.82,77.802217,24.438059,35.707588,119.949997,45.122287,31.02,32.252608,56.799999,46.049999,63.794285,37.750833,108.586073,20.157602,79.120003,191.279999,45.827128,61.785389,1041.859985,69.080374,29.040001,423.769989,46.942767,119.139999,43.206503,3.66,135.279999,53.641206,81.04185,20.59251,30.66,69.32,80.684969,206.550003,52.913331,136.080002,64.272518,33.155597,64.910004,125.120003,73.911664,96.163174,52.276224
2015-01-27,51.958604,106.086526,71.459999,51.143029,82.563822,56.150002,60.290001,180.360001,22.863597,153.673972,306.75,20.099034,102.876342,77.193943,227.529999,357.890015,99.580002,28.427096,122.360001,67.529999,79.190002,156.429993,54.915914,134.28686,25.606822,33.068855,24.700001,55.259998,60.110001,30.049999,29.35,73.110001,71.309998,48.41,23.017675,79.730003,83.669998,85.628554,43.548359,75.779999,73.239998,32.486506,33.639077,102.716395,518.63237,521.190002,142.740005,203.25,83.07,32.619961,86.967375,509.209991,25.34,46.669998,45.52,44.152533,78.439685,37.57,77.008719,24.318805,35.219512,118.809998,40.946965,29.65,32.100473,56.299999,45.599998,64.881432,36.945351,107.706127,19.189801,78.029999,190.970001,45.342032,60.752636,1013.859985,68.281204,28.4,415.73999,46.499119,119.989998,43.314369,3.64,134.440002,51.833788,80.098583,20.089121,30.66,69.099998,79.481304,205.979996,52.701872,135.839996,63.948675,33.063525,64.300003,123.669998,73.024806,92.972966,51.943939
2015-01-28,49.907864,112.083902,70.25,50.72139,81.503212,54.59,58.990002,177.779999,22.679291,149.563491,303.910004,20.295411,103.082506,76.316515,220.309998,351.179993,97.25,28.379622,118.970001,66.870003,77.080002,150.600006,53.191265,132.981985,25.521148,32.471458,24.48,54.43,59.189999,29.780001,28.879999,71.529999,69.959999,54.610001,22.659932,81.190002,81.949997,84.828382,43.171943,76.239998,72.839996,31.856271,33.048228,100.193225,510.002318,512.429993,140.589996,197.860001,81.440002,32.228789,86.033303,502.559998,25.99,46.48,45.380001,43.673031,78.018861,37.380001,75.333553,24.75913,34.819287,119.209999,39.535992,29.1,32.071949,55.240002,44.91,63.208572,36.887122,106.180872,18.876977,79.129997,191.270004,44.590614,60.108343,1003.25,67.539121,27.950001,408,46.16885,118.010002,42.936829,3.56,133.449997,52.251582,80.403182,19.65543,30.09,67.93,78.79068,199.369995,52.16992,133.860001,63.339097,32.722855,64.010002,121.260002,71.894296,95.068029,51.50415
2015-01-29,51.505076,115.573467,71.639999,51.008871,81.329657,55.360001,59.950001,188.050003,22.9121,151.236694,311.779999,20.373961,104.584564,76.625608,220.389999,353.25,99.650002,28.768904,120.870003,67.279999,78.5,152.089996,52.489712,133.953495,25.911438,32.529268,24.055,55.48,60.759998,29.74,28.77,73.480003,70.18,55.330002,22.710437,81.639999,82.279999,85.519888,43.422888,78,73.870003,32.072914,33.333803,101.88512,510.6623,513.22998,140.009995,200,81.339996,32.639043,86.967375,504.980011,24.690001,46.41,45.330002,43.874421,78.165662,37.389999,75.539274,24.676569,34.887621,120.769997,40.323065,29.709999,32.186049,54.889999,44.209999,63.400002,36.935648,106.738175,19.336439,79.870003,192.649994,44.475543,60.686312,1014.73999,60.59398,27.75,414.640015,46.154058,118.910004,43.662496,3.59,133.330002,53.314236,82.722033,19.825809,29.549999,68,82.174752,205.199997,52.875964,134.399994,64.282038,33.091146,64.260002,114.139999,72.673958,96.239353,51.797342
2015-01-30,48.389532,113.88215,70.129997,49.935606,79.574826,54.009998,58.16,183.240005,22.155476,147.261617,354.529999,20.521242,101.001218,74.551679,217.919998,389.160004,97.160004,28.768904,119.160004,66.349998,77.169998,151.119995,51.788163,136.191774,25.102302,32.086039,23.780001,54.130001,59.259998,28.99,27.879999,70.349998,71.099998,54.860001,22.306396,79.610001,80.709999,84.887652,42.853439,75.910004,72.529999,31.363904,32.654327,102.520804,534.522445,537.549988,138.070007,195.190002,79.709999,31.522772,85.364701,494.480011,24.84,46.720001,45.59,43.097627,74.808854,37.349998,72.982439,24.676569,34.399546,116.949997,38.777718,29.27,31.46341,53.150002,43.759998,63.114285,36.683326,106.816394,18.769445,79.339996,187.360001,43.40153,56.953225,1009.47998,59.423772,27.360001,416.660004,45.207612,116.699997,42.917216,3.55,131.289993,51.26159,81.601911,19.183019,30.18,67.010002,80.083136,203.600006,51.696002,131.940002,61.357962,32.345355,64.349998,110.139999,71.874808,92.592052,50.917763
