Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,766.940002,798.690002,736.26001,778.01001,2056700,778.01001
2015-11-02,734.530029,782.900024,731.450012,762.849976,1962600,762.849976
2015-10-01,637.940002,752.50,631.119995,737.390015,2375200,737.390015
2015-09-01,633.809998,681.98999,617.840027,638.369995,2201000,638.369995
2015-08-03,657.659973,704.00,593.090027,647.820007,2728000,647.820007
2015-07-01,543.659973,713.330017,539.76001,657.50,3194500,657.50
2015-06-01,548.72998,565.609985,538.849976,540.039978,1678900,540.039978
2015-05-01,550.51001,558.23999,532.23999,545.320007,1729700,545.320007
2015-04-01,554.830017,584.700012,529.00,548.77002,2195500,548.77002
2015-03-02,567.00,583.200012,550.330017,554.700012,2043300,554.700012
2015-02-02,534.320007,569.419983,521.719971,562.630005,2307100,562.630005
2015-01-02,532.599976,545.409973,490.910004,537.549988,2941400,537.549988
